ref,text
050,"Не ходи до суду, бо хліба не буде."
050,Попадеш в суд - і будеш худ.
050,В суд підеш правди не знайдеш.
050,В суді правди не шукають.
050,"Де суд, там і неправда."
050,"Архієрей не бог, а прокурор не правда."
050,У панів багато куплених брехунів.
050,"Закон у пана, як дишло, куди направить, туди й вийшло."
051,Золотий ключик до всіх замків придасться.
051,Золотий обушок скрізь двері відчиняє.
051,Золота швайка мур пробиває.
051,"Пише, дере і гроші бере."
051,"Були б гроші, а порада буде."
051,"Хто маже, той і їде."
051,Воза і адвоката треба часто мастити.
051,"Хто мастить, тому віз не скрипить."
051,Суха ложка рот дере.
051,Сухий шматок горло дере.
051,"Де не мажуть, там рипить."
051,До права треба мати два мішки грошей.
051,"Коли карман пустий, то й суддя глухий."
051,"Як в кишені сухо, то і в суді глухо."
052,"Був колись чолов'яга, а тепер сутяга."
052,Суддя в суді - що риба в воді.
052,"Правда твоя, мужичок, але полізай у мішок."
052,"Не все так робиться, як у параграфі написано."
052,Набий віз людей та дай суду віз грошей - невинен будеш.
052,"Коли в кишені вітер віє, то не лізь у суд, Мусіє."
052,"Не судись, бо постіл дорожче обійдеться за чобіт."
052,"У кого карман повніший, для того й суд правіший."
052,"Гроші сила: одних підкуплять, других напоять, а третім лиха накоять."
052,"Де гроші судять, там право в кут."
052,"Де гроші говорять, там правда мовчить."
052,"Золото, срібло губу затикає."
053,"Бідному з багатим судиться, то краще в морі втопиться."
053,Голий голого не позива.
053,Тільки адвокат і маляр можуть зробити з чорного біле.
053,"Писар пише, писар маже, так запише, як хто каже."
053,"Рука руку миє, щоб білі були."
053,Своя рука владика.
053,"Дери з багачів, бо бідний і так обдертий, як липка."
053,"Так не візьме, як становой карбованця."
053,Ласий хапунець на чужий гаманець.
053,"Здеруть, як з сидорової кози!"
053,"Хапун такий, що й з рідного батька злупить."
053,"Судяче брюхо: і мовчить, а все просить."
053,"Посадили суддею, а він - свиня свинею."
054,Коза з вовком судилася та й ратичок лишилася.
054,Коза з вовком тягалася тільки шкура залишилася.
054,Як почалася тяганина - не раз упріла в мене чуприна.
054,"Дмитре, чому тебе в суд визивають? Бо пан об мене руку побив."
054,"Синиця шкоду робить, а журавель попадається."
054,"Хто зробив, а на йому окошилось."
054,Іноді б'ють Хому за Яремину вину.
054,"Писар провинився, а шевця повісили."
054,"Пан нашкодив, а старця повісили."
054,"Багатому йти в суд трин-трава, а бідному - з пліч голова."
054,Сильні та багаті рідко винуваті.
054,Трудно позиватись з латаною свитиною з добрим кожухом.
055,"Коли б не піп та не пан, то не був би й мужик голоштан."
055,"І попи, і пани одного поля бур'яни."
055,Поміщик та піп - одного гніздечка птиці.
055,Піп і пан - то одно.
055,За кого пан - за того й бог.
055,"Як не здохнеш в війта в ямі, так загинеш в криміналі."
055,"Що пан затягне пером, то хлоп не витягне волом."
055,"В землі черви, в воді чорти, в лісі сучки, в суді крючки - куди втекти?"
055,"Хто має викрути, не піде в некрути."
055,"Велика муха прорветься з павутиння, а маленька ніколи."
056,Всі попи одним миром мазані.
056,"Попам хоч давай, хоч робине віддаси, не відробиш і жодним способом не вгодищ."
056,"Один чорт піп, що стрижений, що кудлатий - усі люблять брати."
056,"Буде гарно на світі, як попові всипать, а пана засипать."
056,До Бога ся молить та й хлопа неволить.
056,До церкви дзвонять і на панщину гонять.
056,"У бога повір, то пан сам знайдеться."
056,"Піп і торговець, як пара овець."
056,"Де піп церкву ставить, там пан корчму."
056,"У попа душа божа, а тіло панське."
056,"Попівські очі, а панська кишеня."
056,"Молитва мужикові голитва: бога не вмолить, а мужика оголить."
057,"І злодій просить бога, щоб украсти."
057,"Боже святий, пропав мій золотий: дав за службу божу, як в болото вкинув."
057,"Чи піп, чи ксьондз, чи яка нечиста сила - та все з хлопа тягне."
057,"Попівське око, ксьондзівське горло - що бачило, то б і жерло."
057,"Ой боже, боже, бодай ти не дочекав богувати!"
057,"Один дзвін, що кайданний, що церковний."
057,"У попа борода, як у святого, а сумління, як у поліцейського."
057,Щоб не сповідався в острог не попався б.
057,"Піп грішників сповідає, а поліція все знає."
057,Піп гріхи взнавав та в поліцію передазав.
057,"Піп відсвячував хату й двір, де читали Шевченків твір."
057,"Віри різні, та попи однакові."
058,"Старий піп молитву читає, старій бабі баки забиває."
058,"А воно у євангелії більше брехні, піж у небі зірок."
058,Піп євангелію читає читає та на тарілку поглядає.
058,Піп сповідає: «Чи клала?» питає.
058,"Святий боже, святий крепкий, піп в чужих карманах цепкий."
058,Піп молитву читає і в карман поглядає.
058,"Читає: «Да буде воля твоя», а дума: «Коли б моя»."
058,"У церкві піп прикидається людям братом, а поза церквою стає людям катом."
058,"Слова попа - як у брата, діла ж його - як у ката."
058,"Попи м'яко стелють, та твердо спать."
058,"Піп людей картає, а сам лихо робить."
058,"Піп людей карає, а сам казна-що виробляє."
059,"Фальшивий, як святого Юри кінь."
059,"Такий побожний, як у святого Юри кінь."
059,"Ну, а мені поки ще до неба, а на землі попоїсти треба."
059,"Дай боже, що нам треба, а посмерті «гоп» до неба!"
059,"Чув єм, що в небі пси брехали."
059,"«Що бог у небі робить?» «Драбину: одних підсаджує вгору, а других у долину»."
059,"Що піп, що чорт - один сорт."
059,"Бог мені надопомагав, як сліпому окуляри."
059,"Бог лякає мужика громом, чорт рогом, а піп знов богом і так без кінця."
059,"Святий та божий, на чорта похожий."
059,"Піп з богом говорить, а на чорта дивиться."
059,"Що волиш, бабонько, чи ласку божу, чи миску гожу?"
060,"Піп у дзвін, а чорт у калатало."
060,"Піп гроші збирає, а чорт калитку шиє."
060,"В кого гроші, тому й боги хороші."
060,"В кого гроші, за того й бог."
060,"Богові потрібна не душа, а гроші."
060,"Святий кріпкий, святий боже! Як заплатиш, то поможе."
060,"Убрався піп у ризи, а чорт у рядно, та й тягнуть в одно."
060,Всюди коло церкви чорт каплицю ставить.
060,"Воля то божа, та я на це не згожа."
060,Свята Варвара по світу брикала.
060,Святий на святого кривиться.
060,"Побожний: свічки поїв, а очима світигь."
061,"Їде на попа і з живого, і з мертвого."
061,"Піп дерун: дере і з живого, із мертвого."
061,"Попові йде і печене, і варене, і з живого, із умерлого."
061,"Піп у церкві служить, бо за грішми тужить."
061,"Піп з церкви - з прибутком, а віруючі з убитком."
061,"Попи у церкві богами і чортами людей страхали, а собі кишені грішми набивали."
061,"Богу слава, а попу подавай сала!"
061,"Богові свічку, а чортові дві."
061,"Богові поклони, а попам мільйони."
061,Нехай дзвонить його ніхто на панщину не гонить.
061,"Куди піп з хрестом, туди чорт з копитом."
061,"Дяк у дзвін, а дідько в клепало."
062,"Благослови, владико, дерти з бідного лико!"
062,Мало людей мре - попа за серце бере.
062,"Попа журба брала, як мало людей вмирало."
062,"Родивсь подай, господи, женивсь подай, господи, помер теж подай, господи."
062,"Родись, хрестись, женись, помирай - і за все попові гроші дай."
062,"До церкви, як і до корчми, без грошей не йди."
062,"Піп чекає, аби хто вмер, то б і шкуру здер."
062,"Невдивовижу, що попи багаті, вони готові й кожух з людей зідрати."
062,"Піп дзвонить задля своєї користі: чує, де хаптури поїсти."
062,"«Всі люди братія, з усіх буду драти я», говорить піп."
062,"Бог дає на всякого долю - як застане, то зніме штани і льолю."
063,"Попу оддай діжу з тістом, то він тісто вибере і очі тобі видере."
063,Піп з дяком обидва вовчі горла.
063,У попа рука завжди чуже хапа.
063,"Вовче горло, а попівське око."
