ref,text
012,"Ні сідла, ні вузди, ні того, що на нього вузду надівать."
012,"Ні кола, ні двора, ні рогатого вола."
012,"Ані печі, ані лави, і на столі нема страви."
013,"Ні шорстинки у дворі: голий, як бубон!"
013,"Як настане лютий, то спитається, чи вдягнені, узуті."
013,"Їде зима, а кожуха нема."
013,"Вербові дрова, а козиний кожух, то випре й дух."
013,"Лиха тому зима, в кого кожуха нема, чоботи ледащо і їсти нема що!"
013,"Держись, Хома, іде зима!"
013,"Одна на мені, а друга в пранні."
013,"В убогого тоді неділя, коли сорочка біла."
013,Аж скриня тріщить з наготи.
013,"Дожились, що ні свитки, ні чобіт."
013,Хоч живий у яму лізь!
013,Хоч з мосту та в воду!
013,"Хоч сядь та плач, хоч стоячи кричи!"
014,"Куди не оберни, то все дірки зверху."
014,"Бідному куди не кинь, то все догори діркою."
014,"Багатий! Куди не кинь, то все латкою наверх."
014,"Поли крає, а плечі латає."
014,От розбагатіла: поли деру та спину латаю!
014,"Голий підперезався, і все на ньому хоч в дорогу!"
014,"З голого, як з святого, не візьмеш нічого."
014,"Голий, як пень."
014,"Голий, як палець."
014,Голому й на сіні мулько.
014,"Голий, як мати народила."
014,"Голе, аж ребра світяться."
014,"Голий, як турецький святий."
014,Голого легко голити.
015,"У чоботях іде, а сліди босі."
015,"Тільки й має, що на собі."
015,Багатий на лати та на дрібні сльози.
015,"На свиті стільки лат, як на селі хат."
015,"Одна нога взута, другая роззута, а якби третя була, не знаю, як би й пішла!"
015,Бідному сапоги усе добрі до ноги.
015,"Штани як решето, а чоботи роти пороззявляли."
015,"Дожився: штани одні, а сорочок ще менші!"
015,"Прожив, як у ступі стовк: ні смаку, ні знаку."
015,"Родився без сорочки, так і вмру без штанів."
015,"Хоч грошей нема, та в одежу вбився: розкрий поли, то й ноги голі."
015,Тягни рядно на двох одно.
015,"Вітром підбито, а морозом підшито."
016,"Багач не відає, щоб бідний обідає."
016,"Живемо, хліб жуємо, а іноді ще й присолюємо."
016,"Без солі, без хліба худая бесіда."
016,"Лісу - хоч бийся, води - хоч мийся, а хліба хоч плач."
016,"Аби хліб, а зуби будуть."
016,Без хліба - не до обіда.
016,"Хліб батько, вода мати."
016,Борщ та капуста хата не пуста.
016,"Борщ, каша та ще кваша вся їжа наша."
016,Хліб та каша - то їда наша.
016,Хліб та вода бідного їда.
016,"Наїлась біди, напилась води."
016,Була в мене шапка пояркова: сім год по яру валялась вона мені на мою голову дісталась.
017,"Один з сошкою, а семеро з ложкою."
017,"Галушка, лемішка хлібові перемішка."
017,Навчить лихо з' маком коржі їсти!
017,"Живемо часом з квасом, порою з водою."
017,Не до жиру - буть би живу!
017,"Не красна хата углами, а красна пирогами."
017,"Як хліба ні куска, то і в хаті тоска."
017,"Коли є хліба край, то й під вербою рай."
017,"Риба вода, ягода трава, а хліб всьому голова."
017,Риба не хліб: ситий не будеш.
017,Від дешевої рибки не побіжиш стрибки.
017,У вбогого щодня піст.
017,"Не замісиш густо, як у коморі пусто."
018,"Казала кума: «Дам пшона»,- а у неї в самої нема."
018,Прийшов нестаток забрав остаток.
018,Нема й ока запорошить!
018,"Ні в горшку, ні в мішку!"
018,"Молотив цілий день, а віяти нічого."
018,"Поки жнемо доти й їмо, а як скосили ці то все й поїли."
018,Від кулешу і ніг не поколишу.
018,Юшка кишки переїла.
018,"Стало на юшку, а не стало на петрушку."
018,З попелу галушки не вдаються до юшки.
018,Вари воду вода й буде!
018,"Ні хліба куска, ні солі дробка, ні страви ложки, ні води корця!"
018,"Ще то не біда, як у просі лобода, а тоді біда, як і проса нема!"
019,Голодному й вівсяник добрий.
019,Голодній кумі хліб на умі.
019,Не спиться хліб сниться.
019,Голодне око не засне глибоко.
019,"Так виголодався, що й не забалакає!"
019,Ї ріски в роті не було!
019,"Голод не тітка, а лютої мачухи лютіший."
019,Їсти хоч свої пальці гризти.
019,"Стільки має, як голодний за зубами!"
019,"Такий убогий, що й кошеняти з запічку нічим виманити!"
019,"Попросили б і сісти, так нічого їсти."
019,"Ніщо їсти, ніде сісти!"
019,"Борщ такий, що за туманом і дітей не Видно."
020,"Бідний тоді їсть курку, як сам хворий або курка слаба."
020,"Бідак живе обачно: раз на тиждень обідає, та й то не смачно."
020,"Обмокяк вовк, обкисяк з лис, толоден - як собака!"
020,"Прийшлась ложка до рота, та їсти чортма чого!"
020,Добре пісні співати пообідавши.
020,На порожній шлунок і душа смутиться.
020,"Спасибі за полудень, що наївся та й голоден!"
020,"Прийшов гість, та на голу кість."
020,Вижене голод на холод.
020,Голод києм не відженеш.
020,Голодному й опеньки м'ясо.
020,Голодній курці все просо на думці.
020,Голодний з'їсть і холодне.
021,"Сип, жінко, перцю нехай нам хоч раз на віку гірко буде на серцю!"
021,"Вони мотузком хліб ріжуть, бо ножа нема."
021,"Був би горщик та будо б в горщику, ""а по кришка найдеться!"
021,"У піст їли хрін, а у м'ясниці кислиці."
021,"Вареникихваленики, всі вас хвалять, та не всі варять!"
021,"Гречана каша то матір наша, а хлібець житній батько наш рідний."
021,"Ї дурень кашу зварить, як пшоно Є!"
021,"Густенька каша, та не наша, а наш несолений куліш як хочеш, так його і їж!"
021,Добра каша! Крупина за крупиною ганяєгься з дрючиною.
021,"Що ж робить? Хіба круту варить, бо рідкої ні з чого."
021,"Лихо наше ячна каша: з'їв би і такої, та нема ніякої!"
022,"Моя мати між двома хлібами вмерла». «Чого ж так?» «Одного не дочекала, а другий вже минувся»."
022,Що варили на вечерю?» - «Шару юшку. Пошарите та й спать поляжете».
022,"Що вечеряв?» - -«Скрутні: покрутився, покрутився та й спати ліг»:"
022,За одним присідом вечеря з обідом.
022,"Казав дід бабі: «Якби сир та масло, то вареників наварили б, тільки що ж борошна нема»."
022,"Вже й дрова, і вода, - коли б сир і мука, то вареників би наварила."
022,"Тату, ідіть обідати!» «А хліб є?» «Нема!» «Ну, я не голодний»."
022,Що татуньо роблять?» «А що ж? Пообідали та й хліб їдять».
022,Що ваші роблять?» «Пообідали та хліб їдять».
022,"Коли ласувать, так ласувать: бий, жінко, ціле яйце в борщ!"
023,"Краще без вечері лягати, та без боргів вставати."
023,Загряз в борги по самі вуха.
023,"Де тонко - там і рветься, де благе - там і дереться."
023,"Пив би пиво, та в кишені диво."
023,У кишені вітер гуляє.
023,"У його грошей, як у жаби пір'я."
023,"У кого грошей нема, тому й світ, як тюрма."
023,Бідна душа без гроша.
023,"До неба високо, до царя далеко, а до шинку близько."
023,"Гірка горілка, та й життя не солодке."
023,"Є» слово, як мед, солодке; «немає» слово, як полин, гірке."
023,"Нема що їсти, нема пити, немає й роду, щоб поговорити."
024,Бодай ніхто не діждав в чужім кутку сидіти.
024,"Хата чужая, як свекруха лихая."
024,В чужій хаті і тріска б'ється.
024,Чужа хата гірше ката.
024,"Мій батько нікому невинний: у одного позичає, а другому повертає."
024,"Позика не штука, та віддача мука."
024,В борг береш собі на шию ярмо кладеш.
024,Позичка на боржнику верхом їздить.
024,"Голод мутить, а борг крутить."
024,Був голосок та позички з'їли.
024,"Станеш позичати, будеш бідувати."
024,Без позички жити не тужити.
024,"Як батька чужими пирогами поминать, то краще без поминок."
025,У бідного й приятелі мруть.
025,"Хто нічого не має, того ніхто не знає."
025,"У комашки мають подушки, а бідняк — у голови кулак."
025,"Моя хата небом крита, землею підбита, вітром загороджена."
025,"Живеш, як у решеті: звідки вітер не дме, то повна хата холоду."
025,"Змерз як пес, змок як вовк, скис як лис."
025,"Холодно в хаті, що й собаку не вдержиш."
025,"Так холодно, що якби не вмів дрижати, то змерз би."
025,"Така хата тепла, що спотієш дрижачи."
025,"Не в тім річ, що в хаті піч, а біда, як нема!"
025,"Кіндраті! Де твоя хата? Літом на галах, а зимою під скиртою."
026,Гірше всього при старості — бідність.
026,Цілий вік з торбою не лаявся.
026,"Гіркий світ: тато осліп, а діти помацки ходять."
026,"Легше десятьом подарувати, чим в одного попросити."
026,"Запросив, як за рідного батька."
026,"Хоч латане, аби не в людей хватане."
026,"З кого ремінь деруть, а з кого лій топлять!"
026,Шерсть стрижуть і шкуру деруть.
026,"Маємось, як горох при дорозі: хто не хоче, той не скубне."
026,Бідному ніхто не подарує.
026,Кожні ворота для бідного заперті.
026,"Коли бідний, то забуде й брат рідний."
026,"Багатого за стіл саджають, а убогого так випроводжають."
027,"Розживемось, в пастухи наймемось — все село нам буде винне."
027,"Аби шия, а ярмо найдеться."
027,На свої руки найду всюди муки.
027,З розкоші не йдуть у міхоноші.
027,Недостатки гонять з хатки.
027,"Хіба ревуть воли, як ясла повні?"
